﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
96,اگر شاخص قیمت مصرف کننده در تیرماه سال ۱۴۰۳ و تیرماه سال ۱۴۰۴ به ترتیب ۲۷۵ و ۳۸۳ باشد تورم نقطه به نقطه چند درصد است؟,2,اقتصاد کلان
97,اگر میل نهایی به مصرف ۰٫۸ و نرخ مالیاتی ۰٫۰۵ باشد برای افزایش ۲۰ واحد در درآمد ملی، مخارج دولت باید چقدر افزایش یابد؟,3,اقتصاد کلان
98,مفهوم ضریب افزایش (multiplier) در اقتصاد کلان چیست؟,4,اقتصاد کلان
99,کدام نظریه مربوط به اقتصاددانان کینزی نیست؟,2,اقتصاد کلان
100,کدام مورد برای کنترل تورم مناسب است؟,4,اقتصاد کلان
101,چنانچه مالیات و واردات تابعی از درآمد ملی باشد و دولت قصد داشته باشد هم مالیات مستقل و هم هزینه های خود را به اندازه یک تومان افزایش دهد درآمد ملی چه تغییری میکند؟,3,اقتصاد کلان
102,کدام مورد برای خروج از رکود مناسب است؟,2,اقتصاد کلان
103,براساس نظریه پول گرایان کدام مورد در خصوص رابطه بین عرضه پول و متغیرهای اقتصاد کلان درست تر است؟,1,اقتصاد کلان
104,کدام مورد میتواند منجر به تله نقدینگی در مدل IS-LM شود؟,2,اقتصاد کلان
105,منحنی فیلیپس بلند مدت در دیدگاه کینزینهای جدید و نئوکلاسیک ها چگونه است؟,3,اقتصاد کلان
