شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
1,"My mother was a very strong, _____ woman who was a real adventurer in love with the arts and sports.",2,زبان عمومی و تخصصی (انگلیسی)
2,"The weakened ozone _____, which is vital to protecting life on Earth, is on track to be restored to full strength within decades.",1,زبان عمومی و تخصصی (انگلیسی)
3,"Reading about the extensive food directives some parents leave for their babysitters, I was wondering if these lists are meant to ease _____ feeling for leaving the children in someone else's care.",4,زبان عمومی و تخصصی (انگلیسی)
4,"He is struck deaf by disease at an early age, but in rigorous and refreshingly unsentimental fashion, he learns to overcome his _____ so that he can keep alive the dream of becoming a physician like his father.",3,زبان عمومی و تخصصی (انگلیسی)
5,"With cloak and suit manufacturers beginning to _____ their needs for the fall season, trading in the wool goods market showed signs of improvement this week.",1,زبان عمومی و تخصصی (انگلیسی)
6,"Sculptors leave highly _____ footprints in the sand of time, and millions of people who never heard the name of Augustus Saint-Gaudens are well-acquainted with his two statues of Lincoln.",3,زبان عمومی و تخصصی (انگلیسی)
7,"To avoid liability, officers were told that they need to _____ closely to established department rules and demonstrate that probable cause for an arrest or the issuance of a summons existed.",4,زبان عمومی و تخصصی (انگلیسی)
8,The first organized international competition involving winter sports ..(8) just five years after the birth of the modern Olympics in 1896.,2,زبان عمومی و تخصصی (انگلیسی)
9,"It was held eight times between 1901 and 1926, ..(9) all but one time.",1,زبان عمومی و تخصصی (انگلیسی)
10,"Figure skating was included in the Olympics for the first time in the 1908 Summer Games in London, ..(10) the skating competition was not actually held until October...",2,زبان عمومی و تخصصی (انگلیسی)
11,The underlined word 'generously' in paragraph 1 is closest in meaning to,1,زبان عمومی و تخصصی (انگلیسی)
12,The underlined word 'it' in paragraph 2 refers to,2,زبان عمومی و تخصصی (انگلیسی)
13,All of the following words are mentioned in the passage EXCEPT,4,زبان عمومی و تخصصی (انگلیسی)
14,"According to paragraph 1, Taylor thought that 'systematic soldiering' was a result of",3,زبان عمومی و تخصصی (انگلیسی)
15,"According to the passage, which of the following statements is true?",1,زبان عمومی و تخصصی (انگلیسی)
16,The underlined word 'savvy' in paragraph 1 is closest in meaning to,4,زبان عمومی و تخصصی (انگلیسی)
17,"According to paragraph 1, among the areas encompassed within workforce management",2,زبان عمومی و تخصصی (انگلیسی)
18,"According to paragraph 2, software solutions for workforce management",3,زبان عمومی و تخصصی (انگلیسی)
19,"According to the passage, which of the following statements is NOT true?",4,زبان عمومی و تخصصی (انگلیسی)
20,The passage provides sufficient information to answer which of the following questions?,2,زبان عمومی و تخصصی (انگلیسی)
21,"According to paragraph 1, public health managers",1,زبان عمومی و تخصصی (انگلیسی)
22,Which of the following techniques has been used in paragraph 2?,3,زبان عمومی و تخصصی (انگلیسی)
23,"According to paragraph 3, in order to respond effectively to the challenges facing them, managers need to",4,زبان عمومی و تخصصی (انگلیسی)
24,Which of the following words best describes the writer's attitude to public health managers in the passage?,3,زبان عمومی و تخصصی (انگلیسی)
25,"In which position marked by [1], [2], [3] and [4], can the following sentence best be inserted in the passage?",2,زبان عمومی و تخصصی (انگلیسی)
