شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
181,بازی حباب در کدام روش رسوخ در ذهن مصرف کنندگان استفاده میشود؟,2,بازاریابی
182,هنگامی که خریدار شرایط سفارش خود را بر اساس تصمیمات جدید بازار تغییر میدهد از کدام موقعیتهای خرید صنعتی استفاده میکند؟,4,بازاریابی
183,زمانی که رهبران بازار برای دفاع از موضع نام تجاری خود پاسگاههای مرزی قوی در مرزهای خود تأسیس می کنند از کدام رویکرد بازاریابی تدافعی بهره می گیرند؟,1,بازاریابی
184,پاسخ به سؤال «هر گروه از محصولات را چگونه باید بازاریابی نمود؟» در کدام مکتب بازاریابی وجود دارد؟,3,بازاریابی
185,براساس موازین اسلامی کدام مورد جزو شرایط ورود به یک مبادله نیست؟,2,بازاریابی
186,اگر مشتریان مروج معادل ۳۰٪، مشتریان منفعل معادل ۵۰٪ و مشتریان بدگو معادل ۲۰٪ باشند آنگاه امتیاز خالص مروج (NPS) چند است؟,1,بازاریابی
187,در تبلیغ «تنظیم عملکرد دستگاه گوارش برای معرفی ماست لاکتیویا از سوی شرکت کاله» از کدام استراتژی جایگاه یابی استفاده شده است؟,4,بازاریابی
188,استفاده از نام دلپذیر برای نام گذاری برند در صنعت مواد غذایی ذیل کدام استراتژی نام گذاری قرار میگیرد؟,3,بازاریابی
189,کدام مورد به میزان اعتقاد مشتریان به توانایی شرکت در طراحی و ارائه محصولات و خدماتی که نیازها و خواسته های آنها را برآورده کند اشاره دارد؟,2,بازاریابی
190,اگر شرکت صد درصد بازار را داشته باشد کدام مورد ظرفیت فروش شرکت را نشان میدهد؟,1,بازاریابی
191,کدام مدل تحلیلی برای پیش بینی رفتار آینده مشتریان استفاده میشود؟,3,بازاریابی
192,شرکت آلفا یک تولید کننده مشهور محصولات تکنولوژیکی است... کدام استراتژی برای جایگاه یابی این محصول جدید میتواند اثر بخش باشد؟,4,بازاریابی
193,یک شرکت تولید کننده چمدانهای مسافرتی با برند سفر آسان... کدام ابزار ترفیعی برای معرفی محصول به بازار مناسب تر است؟,1,بازاریابی
194,شرکت گاما در حال توسعه یک نرم افزار مدیریت مالی برای شرکتهای کوچک و متوسط است... کدام استراتژی قیمت گذاری با هدف متمایز سازی مناسب تر است؟,4,بازاریابی
195,شرکت بتا تولید کننده لوازم جانبی خودرو در حال توسعه یک سیستم جدید ناوبری خودرو است... کدام کانال توزیع میتواند برای فروش مناسب تر باشد؟,2,بازاریابی
