﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
51,ضریب تغییرات متغیر x برابر ۰٫۴ است. اگر میانه این متغیر ۰٫۸ میانگین آن باشد ضریب چولگی این متغیر چقدر است؟,4,آمار
52,در جدول فراوانی نما (مد) در طبقه ۲۸ - ۲۲ قرار دارد و برابر با ۲۴ است. اگر تفاوت فراوانی مطلق این طبقه با طبقه بعد از آن ۴ باشد فراوانی مطلق طبقه ای که مد در آن قرار دارد چقدر است؟,2,آمار
53,"انحراف معیار متغیر y دو برابر انحراف معیار متغیر x است. اگر انحراف معیار (x+y) و کوواریانس (x,y) به ترتیب ۳ و ۲٫۵ باشد واریانس متغیر x چقدر است؟",4,آمار
54,احتمال اینکه علی یک پیام بازرگانی را مشاهده کند ۰٫۳ است اگر احتمال اینکه همسر علی این پیام را مشاهده نکند در صورتی که علی آن پیام را مشاهده نکرده باشد ۰٫۵ باشد احتمال اینکه علی یا همسر علی این پیام را مشاهده کنند چقدر است؟,1,آمار
55,توزیع احتمال مشترک دو متغیر تصادفی X و Y داده شده است. اگر P(Y=2|X=2)=0.25 باشد E(Y) چقدر است؟,1,آمار
56,به طور متوسط هر ساعت ۱۲ نفر طبق توزیع پواسون با مرکز اورژانس تماس میگیرند اگر در دو دقیقه اخیر با این مرکز تماس گرفته نشده باشد احتمال اینکه حداقل چند دقیقه دیگر با این مرکز تماس گرفته نشود، برابر e^(-0.2) است؟,3,آمار
57,تعداد روزهای غیبت کارکنان یک دفتر خدماتی در طی سال عبارت است از ۳، ۶، ۹، ۷، ۵. میانگین توزیع نمونه گیری واریانس روزهای غیبت کارکنان این دفتر برای نمونه های تصادفی ۴ تایی چقدر است؟,2,آمار
58,مأمور کنترل کیفیت به طور تصادفی ۴۰۰ عدد از محصولات تولیدی کارخانه را مورد بررسی قرار داده است که ۸ عدد از آنها فاقد کیفیت لازم بوده است. اگر مقدار آماره آزمون در سطح اطمینان مورد نظر ۲ باشد انحراف از نسبت کالاهای بدون کیفیت تولیدی این کارخانه چند درصد است؟,3,آمار
59,اطلاعات نمونه های تصادفی انتخاب شده از تولیدات دو دستگاه مفروض است. با فرض نرمال بودن توزیع وزن محصولات دو دستگاه و برابری واریانس آنها، واریانس توزیع نمونه گیری آماره آزمون مناسب چقدر است؟,1,آمار
60,"بر اساس نمونه ۲۵ تایی از یک جامعه نرمال دو بعدی (x,y)، معادلات رگرسیون X_hat = 8 - 0.48Y و Y_hat = 5 - 2X به دست آمده است. ضریب همبستگی x و y چقدر است؟",4,آمار
