﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
181,کدام روش قیمت گذاری بر اساس ارزش ادراک شده توسط مشتری است؟,3,بازاریابی
182,با توجه به چرخه عمر محصول هدف استراتژیک بازاریابی شرکت در مرحله بلوغ محصول کدام مورد است؟,4,بازاریابی
183,یکی از جاذبه های احساسی در تبلیغات استفاده از شوخ طبعی و طنز (Humor) است. در این خصوص کدام مورد درست است؟,2,بازاریابی
184,رضایت کلی مشتری بر اساس کدام رابطه اندازه گیری میشود؟,1,بازاریابی
185,کدام مورد دروازه تعامل مشتریان با پیشنهادهای شرکت است و در آن مشتریان هدف با پیشنهادهای شرکت مواجه میشوند؟,4,بازاریابی
186,ارائه ویژگیها و شرایط متناسب با عرف بازار در کدام لایه محصول قرار می گیرد؟,2,بازاریابی
187,کدام مورد جزو ربعهای چارچوب رشد محصول - بازار نیست؟,3,بازاریابی
188,در ماتریس BCG کدام مورد بهترین توصیف از واحدهای کسب و کار «ستاره» (Stars) است؟,4,بازاریابی
189,حرکت اصلی بازار برای یک محصول جدید از طرف کدام طبقه مشتریان انجام میگیرد؟,2,بازاریابی
190,قضاوتهای مدیران در کدام روش پیش بینی فروش اعمال میشود؟,1,بازاریابی
191,به دلیل کدام ویژگی نقش عامل توزیع در استراتژی بازاریابی خدمات اهمیت زیادی دارد؟,3,بازاریابی
192,در کدام شرایط استفاده از استراتژی قیمت گذاری حداکثری (Skimming) بیشترین کارایی را دارد؟,1,بازاریابی
193,یک شرکت نرم افزاری خدماتش را به گونه ای ارائه میدهد که هر بار کیفیت و تجربه مشتری متفاوت است. این ویژگی به کدام خصوصیت بازاریابی خدمات اشاره دارد؟,4,بازاریابی
194,در بازاریابی خدمات، ناهمگنی (Heterogeneity) به چه معناست؟,1,بازاریابی
195,وقتی یک شرکت خدماتی در زمان اوج تقاضا از قیمتهای متغیر استفاده میکند مانند شرکتهای ایرلاین، از کدام استراتژی قیمت گذاری بهره میگیرد؟,2,بازاریابی
