﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
41,در کیسه ای ۴ مهره سفید و ۲ مهره سیاه شماره گذاری شده قرار دارد به چند طریق میتوان ۳ مهره از کیسه بیرون آورد بدون جایگذاری به طوری که مهره سوم سیاه باشد؟,4,ریاضی
42,"فرض کنید A={1,2,3} و B={1,2,5}، تعداد توابع یک به یک با دامنه A و برد B کدام است؟",3,ریاضی
43,اگر a و b دو عدد حقیقی و lim_{x->+inf} ((x^2+1)/(x+1) - ax - b) = 0 باشد آنگاه مقدار ab کدام است؟,3,ریاضی
44,"به ازای کدام مقدار a تابع f(x) = { x^2+x+1 for x>=0, a^x for x<0 } مشتق پذیر است؟",2,ریاضی
45,تابع f(x) = (x - 1/2)e^(-x^2) در کدام بازه، اکیداً صعودی است؟,1,ریاضی
46,هر خط موازی با محور x دو خط x+2y=4 و 2x+5y=10 را به ترتیب در نقاط A و B قطع میکند. اگر پاره خطهای AB در ربع اول صفحه مختصات واقع باشند آنگاه اندازه بلندترین پاره خط AB کدام است؟,2,ریاضی
47,"کدام مورد برای منحنی xy(x+y)=-2 در نقطه A(-1,-1) درست است؟",4,ریاضی
48,حاصل int (tan^2(sqrt(x)) / sqrt(x)) dx کدام است؟,2,ریاضی
49,"به ازای کدام مقدار a و b دستگاه معادلات خطی { x+y+2z=5, ax+2y+z=1, 3x+3y+5z=b } دارای بیشمار جواب است؟",1,ریاضی
50,اگر z = ln(x^2 * e^(-y/x))، آنگاه حاصل x*(dz/dx) + y*(dz/dy) کدام است؟,3,ریاضی
