﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
1,Remember that Instagram is not a good _____ of medical and health-related information.,2,زبان عمومی و تخصصی (انگلیسی)
2,Management says that the person who built the building is _____ for the current problems.,4,زبان عمومی و تخصصی (انگلیسی)
3,The psychologist told him to _____ on the part of the problem that troubled him.,1,زبان عمومی و تخصصی (انگلیسی)
4,"Some of his scenarios are too extreme, but they have the _____ of acknowledging the darkness that lies in all human hearts.",3,زبان عمومی و تخصصی (انگلیسی)
5,"You can easily _____ some students to a category, and some students belong to several, and some just sit in the back and all you know is their names.",1,زبان عمومی و تخصصی (انگلیسی)
6,What aggravated his offense was the _____ attitude he exhibited before the jury in the courtroom.,2,زبان عمومی و تخصصی (انگلیسی)
7,"In a video statement, Mr. Comey declared his innocence and welcomed an opportunity to _____ himself in a trial.",2,زبان عمومی و تخصصی (انگلیسی)
8,"Modern psychologists have many interests, ..(8) upon different theories and approaches depending on what they are studying.",1,زبان عمومی و تخصصی (انگلیسی)
9,There has been tremendous growth in the topics studied by psychologists ..(9) developments in computers and data analysis.,4,زبان عمومی و تخصصی (انگلیسی)
10,"The American Psychological Association currently has 45 divisions, ..(10) representing areas of special interest to psychologists.",3,زبان عمومی و تخصصی (انگلیسی)
11,The underlined word 'motivation' in paragraph 1 is closest in meaning to,1,زبان عمومی و تخصصی (انگلیسی)
12,The underlined word 'his' in paragraph 1 refers to,3,زبان عمومی و تخصصی (انگلیسی)
13,All of the following words are mentioned in the passage EXCEPT,4,زبان عمومی و تخصصی (انگلیسی)
14,"According to paragraph 2, the revised version of McGregor's paper",2,زبان عمومی و تخصصی (انگلیسی)
15,"According to the passage, which of the following statements is true?",4,زبان عمومی و تخصصی (انگلیسی)
16,The underlined word 'initiated' in paragraph 3 is closest in meaning to,3,زبان عمومی و تخصصی (انگلیسی)
17,"According to paragraph 1, one of the tasks which has not yet been relegated to vendors is",2,زبان عمومی و تخصصی (انگلیسی)
18,"According to paragraph 2, the reason why HR matters play a part in more or less every outsourcing decision is that",1,زبان عمومی و تخصصی (انگلیسی)
19,"According to the passage, which of the following statements is NOT true?",3,زبان عمومی و تخصصی (انگلیسی)
20,The passage provides sufficient information to answer which of the following questions?,2,زبان عمومی و تخصصی (انگلیسی)
21,Which of the following techniques is used in paragraph 1?,4,زبان عمومی و تخصصی (انگلیسی)
22,"According to paragraph 1, the main problems regarding the effectiveness of EMSs are that",2,زبان عمومی و تخصصی (انگلیسی)
23,"According to paragraph 2, notwithstanding the concerns voiced in paragraph 1, it is probable that",3,زبان عمومی و تخصصی (انگلیسی)
24,Which of the following statements can best be inferred from the passage?,1,زبان عمومی و تخصصی (انگلیسی)
25,"In which position marked by [1], [2], [3] and [4], can the following sentence best be inserted in the passage?",2,زبان عمومی و تخصصی (انگلیسی)
