شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
86,وقتی مطلوبیت کل یک کالا به حداکثر میرسد نشانه کدام مورد است؟,3,اقتصاد خرد
87,کالایی که اثر جانشینی و اثر درآمدی تغییر در قیمت آن برخلاف یکدیگر بر مصرف آن اثر گذارند و اثر جانشینی آن کالا از اثر درآمدی آن کمتر باشد چه منحنی تقاضایی دارد؟,1,اقتصاد خرد
88,قدر مطلق کشش قیمتی تقاضا در قیمت ۱۴۰ ریال با توجه به نمودار خطی تقاضا (با عرض از مبدا ۲۱۰) چقدر است؟,2,اقتصاد خرد
89,اگر قیمت یک کالا از ۵ به ۶ واحد پول افزایش یابد و مقدار تقاضا از ۸ به ۱۰ کیلو تغییر کند آن کالا چگونه کالایی است؟,2,اقتصاد خرد
90,توابع تقاضای دو کالای a و b داده شده است. در قیمت ۷۰ ریال کدام مورد درست است؟,4,اقتصاد خرد
91,در توابع تولید همگن از درجه یک به ترتیب بازدهی نسبت به مقیاس و نسبت هزینه نهایی به هزینه متوسط کدام است؟,1,اقتصاد خرد
92,اگر کشش منحنی عرضه برابر یک باشد وضعیت منحنی عرضه چگونه خواهد بود؟,3,اقتصاد خرد
93,با وضع مالیات مقطوع کدام هزینه ها تغییر نمی کند؟,1,اقتصاد خرد
94,چنانچه هزینه های یک بنگاه تولیدی به ترتیب AFC=3 و ATC=10 باشد نقطه تعطیل این بنگاه در بازار رقابت کامل در چه قیمتی است؟,4,اقتصاد خرد
95,در کدام نوع بازار به راحتی میتوان نشان داد که شیب درآمد نهایی غیر صفر و دو برابر شیب منحنی تقاضا است؟,2,اقتصاد خرد
