شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
96,تولید ناخالص ملی از تولید ناخالص داخلی در چه صورت کوچک تر است؟,3,اقتصاد کلان
97,تصور کنید که در اقتصادی خرید و فروش اتومبیل دست دوم رواج دارد در محاسبات ملی این اقتصاد کدام مورد محاسبه میشود؟,4,اقتصاد کلان
98,جامعه ای را تصور کنید که توابع و اقلام مربوط به حسابهای کلان آن داده شده است، ضریب افزایش بودجه متوازن کدام است؟,1,اقتصاد کلان
99,با توجه به نرخ تورم برای کشور «الف» به شرح جدول (سال ۱: ۲۰٪، سال ۲: ۱۸٪، سال ۳: ۱۴٪) کدام مورد درست نیست؟,2,اقتصاد کلان
100,برای خروج از رکود کدام مورد مناسب نیست؟,4,اقتصاد کلان
101,در کدام نظریه مصرف کاهش درآمد دائمی به کاهش مصرف تا سطح بلندمدت منجر میشود؟,3,اقتصاد کلان
102,کدام نوع بیکاری بر اثر ادوار تجاری تغییر میکند؟,3,اقتصاد کلان
103,با توزیع عادلانه درآمد میل نهایی به مصرف جامعه چه تغییری میکند؟,1,اقتصاد کلان
104,افزایش قیمتها چه تغییری در منحنیهای IS و LM ایجاد میکند؟,2,اقتصاد کلان
105,تقاضای سوداگری پول در کدام حالت افقی است؟,4,اقتصاد کلان
