﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
166,کدام یک از روشهای زمان بندی زیر تعداد سفارشات انجام شده با دیرکرد را حداقل میکند؟,2,مدیریت تولید
167,کدام مورد از محدودیتهای مکتب مدیریت علمی نظریه تیلور است؟,4,مدیریت تولید
168,در روش PERT واریانس تاریخ تکمیل پروژه بر اساس کدام مورد تعیین میشود؟,1,مدیریت تولید
169,در تحلیل حالات و اثرات شکست (FMEA) کدام مورد در اولویت بالاتری برای اقدامات اصلاحی قرار میگیرد؟,4,مدیریت تولید
170,کدام مورد از مزایای تولید انبوه نسبت به تولید سفارشی است؟,3,مدیریت تولید
171,اگر n نشان دهنده نوبت تولید باشد زمان تحویل محصول n ام با کدام مورد رابطه معکوس دارد؟,2,مدیریت تولید
172,در کدام سیستم تولید سطح مهارت کارکنان و تعدادشان نسبت به سایر سیستم ها کمتر است؟,1,مدیریت تولید
173,رعایت ملاحظات زیست محیطی، اقتصادی و اجتماعی در تولید در کدام یک از رویکردها مورد تأکید است؟,4,مدیریت تولید
174,پیش بینی فروش در ماه خرداد با روش هموارسازی نمایی (آلفا = ۰٫۱) چقدر است؟,1,مدیریت تولید
175,با توجه به مشاهدات نمونه گیری و راندمان کاری ۹۰٪ و اضافات مجاز ۲۰٪، زمان استاندارد برش هر قطعه چند دقیقه است؟,2,مدیریت تولید
176,فرمول TC/TCe = 1/2(Qe/Q + Q/Qe) در چه صورتی به یک نزدیک میشود؟,3,مدیریت تولید
177,در یک شیفت کاری ۸ ساعته با پارامترهای داده شده، تعداد ماشین آلات و تجهیزات مرحله دوم چقدر است؟,1,مدیریت تولید
178,با در نظر گرفتن استراتژی تولید ثابت، موجودی کالا در پایان ماه دوم چقدر خواهد بود؟,3,مدیریت تولید
179,با مجموع زمان پردازش ۳۶ دقیقه و تولید ۱۰۰ محصول در شیفت ۸ ساعته، حداقل چند ایستگاه کاری نیاز است؟,2,مدیریت تولید
180,در درخت محصول داده شده، برای تولید ۱۰۰ واحد A با داشتن ۱۰۰ واحد B، به چند واحد E نیاز داریم؟,3,مدیریت تولید
