شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
61,خودکنترلی عاطفی انطباق پذیری موفقیت گرایی و نقطه نظر مثبت بیانگر کدام شایستگیهای مدیریتی است؟,1,تئوری های مدیریت
62,ساختارهای دانش در کدام سطح از سلسله مراتب سیستمهای بولدینگ قرار می گیرد؟,2,تئوری های مدیریت
63,اینکه علی رغم نصب تابلوی ممنوعیت سیگار کشیدن در محل کار کارکنان سیگار میکشند نمونه ای از کدام نوع بوروکراسی است؟,4,تئوری های مدیریت
64,وقتی که عوامل کلیدی تأثیر زیادی روی سازمان داشته و سازمان باید خواسته های آنها را جامه عمل بپوشاند کدام رویکرد اثر بخشی مفید است؟,3,تئوری های مدیریت
65,کدام نوع چانه زنی به مذاکره ای اشاره دارد که به دنبال توافق است و یک شیوه حل مسئله برد - برد را به کار میگیرد؟,2,تئوری های مدیریت
66,کدام مورد تعریف کامل تر و دقیق تری از عوامل بهداشتی نگهدارنده در تئوری دو عاملی انگیزش هرزبرگ ارائه میدهد؟,1,تئوری های مدیریت
67,در تحلیل راهبردی یک کارخانه براساس SWOT دسترسی آسان به نیروی کار ماهر در شهری که کارخانه در آن تأسیس میشود در کدام گروه قرار میگیرد؟,4,تئوری های مدیریت
68,این باور که برخی اوقات نیاز است که قبل از فکر کردن عمل کرد در کدام مدل تصمیم گیری مطرح میشود؟,3,تئوری های مدیریت
69,تمرکز زدایی افقی محدود در کدام بوروکراسی به کار میرود؟,2,تئوری های مدیریت
70,در کدام سبک مذاکره فشار آوردن در یک زمان و عقب نشینی در زمانی دیگر، طرح سریع موضوعات به صورت دو به دو با یکدیگر و ایجاد ایده های ساختگی مطرح میشود؟,4,تئوری های مدیریت
71,کدام مورد جزو عوامل مربوط به ماهیت کار در اندازه حیطه نظارت است؟,1,تئوری های مدیریت
72,زمانی که کارمند احساسات ناخوشایندی در گروه دارد و احساس میکند که فردی اضافی است کدام نیازهای کارمند مطرح است؟,2,تئوری های مدیریت
73,در نظریه وابستگی به منابع اولویت بندی واکنشهای سازمان به وابستگیها بر اساس کدام معیارها انجام میشود؟,4,تئوری های مدیریت
74,به ترتیب در مکاتب کلاسیک، رفتاری، سیستمی و اقتضایی انسان چگونه فرض میشود؟,3,تئوری های مدیریت
75,بر اساس نقشهای مدیریت مینتزبرگ مدیری که به دنبال بهبود عملکرد واحد سازمانی و انطباق آن با شرایط متغیر محیطی است کدام نقش را ایفا میکند؟,2,تئوری های مدیریت
76,ظرفیت بسیج منابع در صورت بروز اختلال بیانگر کدام یک از چهار ویژگی اصلی تاب آوری (Resilience) است؟,1,تئوری های مدیریت
77,حفظ قدرت و ناخرسندی از آغاز کنندگان تغییر به ترتیب جزو کدام دلایل مقاومت در مقابل تغییر است؟,3,تئوری های مدیریت
78,«فرهنگ» و «سیاست» به ترتیب به کدام سطوح سازمان مربوط هستند؟,2,تئوری های مدیریت
79,علت اصلی شکل گیری سازمان غیر رسمی در سازمان کدام مورد است؟,4,تئوری های مدیریت
80,از کدام عامل به عنوان عامل اصلی پیچیدگی سازمانی یاد میکنند؟,1,تئوری های مدیریت
81,این ادعا که چون زبان نمیتواند ثابت باشد و همیشه و همه جا سرگردان است باید از جستجوی حقیقت دست برداریم و نسبت به هر نوع ادعاهای دانشی مردد باشیم باور کدام پارادایم است؟,3,تئوری های مدیریت
82,در کدام نظریه تلاش میگردد تا راههای ساده برای تشریح و کنترل سیستمهای چندوجهی کسب و کار شناسایی شود؟,4,تئوری های مدیریت
83,رفتار بیمارگونه ناشی از بوروکراسی به کدام مورد اشاره دارد؟,1,تئوری های مدیریت
84,رویکرد کنترلی محسوس با کدام نوع استراتژی تناسب دارد و نیاز نیست که کنترل درونی سازی شده و ملکه ذهن افراد شود؟,2,تئوری های مدیریت
85,شکل گیری استراتژی به عنوان فرایند تحولی و دگرگون شونده به کدام یک از مکاتب تفکر استراتژیک اشاره دارد؟,3,تئوری های مدیریت
