شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
166,مشاهدات نمونه گیری در مدت ۸۰ ساعت بر روی تعدادی کارگر که وظیفه ای را انجام میدهند اطلاعات داده شده را فراهم کرده است. زمان استاندارد انجام وظیفه چند دقیقه است؟,4,مدیریت تولید
167,درخت محصول Z مفروض است. اگر ۵۰ واحد A و ۵۰ واحد B در انبار داشته باشیم برای تولید ۱۰۰ واحد Z به چند واحد F نیاز داریم؟,3,مدیریت تولید
168,یک کارگاه دارای ۷ ایستگاه کاری با فواصل یکسان استقرار یافته است. با توجه به جدول فراوانی حمل و نقل قطعات، بهتر است کدام ایستگاه در موقعیت ۱ قرار گیرد؟,2,مدیریت تولید
169,پنج قطعه برای آماده سازی در دو ایستگاه کاری A و B باید پردازش شوند. بهترین توالی پردازش این قطعات از چپ به راست چگونه است؟,4,مدیریت تولید
170,تقاضای سالانه یک کالا ۲۰۰۰ واحد است. اگر هزینه نگهداری هر واحد ۱ و هزینه هر بار سفارش دهی ۱۰ باشد، بهترین فاصله زمانی بین هر دو بار سفارش (دوره سفارش) چقدر است؟ (سال = ۳۰۰ روز),1,مدیریت تولید
171,اندازه بهینه سفارش با کدام مورد رابطه معکوس دارد؟,3,مدیریت تولید
172,به منظور پیش بینی فروش محصولی که الگوی تقاضای بازار آن دارای روند و تغییرات فصلی است کدام روش پیشنهاد میشود؟,2,مدیریت تولید
173,کدام مورد در خصوص نمودار گانت درست است؟,3,مدیریت تولید
174,در چارچوب تصمیمات برنامه ریزی تولید کدام مورد نسبت به سایر موارد زودتر انجام میشود؟,4,مدیریت تولید
175,با توجه به اطلاعات جدول پیش بینی تقاضای دوره n به روش نمو هموار با در نظر گرفتن alpha = 0.5 کدام است؟,3,مدیریت تولید
176,اگر اعداد روی دوایر نشان دهنده قابلیت اطمینان هر ایستگاه باشد کدام مورد قابلیت اطمینان کمتری دارد؟,2,مدیریت تولید
177,برای تعداد زدگیهای یک توپ پارچه از کدام نمودار کنترل باید استفاده شود؟,1,مدیریت تولید
178,کدام روش مکان یابی تسهیلات موقعیت مکانی را به عنوان یک متغیر پیوسته در نظر میگیرد؟,1,مدیریت تولید
179,شرکتی چند کالا را خرید و فروش میکند. اگر سود ناخالص هر واحد ۳۰٪ از قیمت فروش و سایر هزینه ها ثابت و برابر ۲۸۰ میلیون ریال باشد این شرکت چند ریال محصول باید بفروشد تا ۵۰ میلیون ریال سود کند؟,4,مدیریت تولید
180,جدول پیش بینی تقاضا برای محصولی در چهار فصل سال نشان داده شده است. در هر فصل حداقل چند واحد باید تولید شود تا در طول سال هیچ گاه با کمبود مواجه نشویم؟,1,مدیریت تولید
