شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
51,"نمونه تصادفی ۱۰ تایی از فیش حقوق کارکنان یک شرکت انتخاب شده که واریانس مبلغ حقوق آنها ۱/۲۱ بوده است... در این تخمین مقدار chi^2_{alpha/2, df} چقدر است؟",4,آمار
52,نرخ بیکاری سه فصل اول سال به ترتیب ۷/۲، ۴ و ۵ درصد بوده است. نرخ بیکاری فصل چهارم چقدر باشد تا متوسط نرخ بیکاری فصلی ۶ درصد باشد؟,3,آمار
53,رشد اقتصادی کشورهای در حال توسعه دارای چولگی به سمت راست است کدام تحلیل در مورد شاخص مرکزی این متغیر درست است؟,1,آمار
54,میانه، ضریب چولگی و ضریب تغییرات متغیری به ترتیب ۴، ۰٫۵ و ۰٫۴ است واریانس این متغیر چقدر است؟,4,آمار
55,در یک شرکت تولیدی ۸۰٪ محصولات در زمان عادی تولید میشود ۲۵٪ محصولات تولید شده معیوب و ۱۵٪ محصولات سالم از زمان اضافه کاری است... احتمال اینکه محصول معیوب از تولیدات زمان عادی باشد چند درصد است؟,2,آمار
56,یک تاس را دو بار پرتاب میکنیم اگر در یکی از پرتابها عدد ۳ آمده باشد احتمال این که پرتاب دیگر عددی زوج آمده باشد چقدر است؟,3,آمار
57,متغیر تصادفی Z دارای توزیع نرمال با میانگین صفر و انحراف معیار ۱ است. اگر P(Z <= 2.5) = 0.9798 باشد، P(-2.5 <= Z <= 0) چقدر است؟,1,آمار
58,یک مأمور ارزیابی کیفیت با فرض این که درصد کالای معیوب حداکثر ۲۰٪ است در سطح خطای ۵٪ حداقل حجم نمونه را ۳۸۵ تعیین کرده است. دقت برآورد در تعیین حجم نمونه چقدر لحاظ شده است؟,3,آمار
59,"از محصولات کارخانه A و B به ترتیب ۹ و ۱۰ نمونه تصادفی انتخاب و نسبت واریانس در سطح خطای alpha در بازه (0.22, 11.4) برآورد گردیده است... واریانس وزن نمونه های کارخانه B چقدر است؟",2,آمار
60,رابطه خطی دو متغیر x و y بر اساس نمونه تصادفی ۴۰ تایی به صورت y = 5 + 8x برآورد گردیده است. اگر مقادیر x را در -۲ ضرب کنیم شیب خط رگرسیون جدید چقدر خواهد بود؟,4,آمار
