﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
136,محصول «الف» از مونتاژ ۲ قطعه A و ۳ قطعه B ساخته میشود تولید این قطعات در سه بخش تولیدی ۱، ۲ و ۳ کارخانه انجام میشود که ظرفیت روزانه مشخص است. تابع هدف برای حداکثرسازی تولید کدام است؟,2,تحقیق در عملیات
137,یک شرکت شیشه بری ۳ سفارش دارد و شیشه های ۱۵۰ سانتی متری تحویل میگیرد. محدودیت مربوط به این که نسبت ضایعات به طول کل شیشه ها حداکثر ۱۰ درصد باشد کدام است؟,1,تحقیق در عملیات
138,قطعات A و B به وسیله دو ماشین تولید میشوند. محدودیت مربوط به این که هیچ کدام از ماشینها بیش از یک ساعت (۶۰ دقیقه) در روز بیش از دیگری کار نکند کدام است؟,3,تحقیق در عملیات
139,"مسئله برنامه ریزی خطی Max Z = Min{2/5 x, x - 2} s.t. x <= 5 دارای چه حالت خاصی است؟",4,تحقیق در عملیات
140,جدول یکی از تکرارهای سیمپلکس یک مسئله برنامه ریزی خطی داده شده است. تابع هدف مسئله کدام است؟,1,تحقیق در عملیات
141,"با توجه به مدل برنامه ریزی خطی و جدول نهایی سیمپلکس، قیمت سایه منابع اول و دوم (y1, y2) و مقدار تابع هدف چقدر است؟",4,تحقیق در عملیات
142,در جدول نهایی سیمپلکس، در صورتی که محدودیت اول مسئله ثانویه به صورت 2y1 + 3y2 >= 3 باشد مقدار a کدام است؟,1,تحقیق در عملیات
143,با توجه به جدول نهایی سیمپلکس، اگر بخواهیم یک واحد x1 تولید شود کدام گزینه درست است؟,2,تحقیق در عملیات
144,اگر به طور همزمان سمت راست محدودیت اول ۴ واحد افزایش و سمت راست محدودیت دوم ۴ واحد کاهش یابد، چه تأثیری بر جواب مسئله خواهد داشت؟,3,تحقیق در عملیات
145,به ازای چه مقادیری برای ضریب x1 در محدودیت دوم (a21)، متغیر x1 به عنوان متغیر ورودی انتخاب میشود؟,2,تحقیق در عملیات
146,اگر عدد سمت راست محدودیت اول ۳٫۵ افزایش و عدد سمت راست محدودیت دوم ۶ کاهش یابد، به ازای چه مقدار x3، مقدار x2 برابر ۲ خواهد داشت؟,4,تحقیق در عملیات
147,در جدول نهایی حل مسئله حمل و نقل، دامنه مجاز تغییرات هزینه انتقال از مبدأ ۲ به مقصد ۲ (C22) کدام است؟,3,تحقیق در عملیات
148,تعداد متغیر تبهگن در حل یک مسئله تخصیص با روش برنامه ریزی خطی و حمل و نقل به ترتیب از راست به چپ کدام است؟,1,تحقیق در عملیات
149,در برنامه ریزی سه پروژه، قید شده اگر پروژه ۱ یا ۲ انتخاب شود پروژه ۳ انتخاب نمی شود. محدودیت متناظر کدام است؟,4,تحقیق در عملیات
150,در مدل برنامه ریزی عدد صحیح، محدودیت برش داده شده به صورت کدام محدودیت در صورت مسئله اصلی ظاهر خواهد شد؟,2,تحقیق در عملیات
