﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
26,رابطه «فضل» و «عدل» در نظام کنترل الهی بر اساس آیات ۲۷ - ۲۶ سوره یونس چگونه تبیین میشود؟,3,اصول و مبانی مدیریت از دیدگاه اسلام
27,رعایت کدام مهارت گفتاری از شایعه سازی و پایمال شدن حقوق و آبروی افراد جلوگیری میکند؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
28,در نظام ولایت فقیه کسب اعتبار و مشروعیت حاکم و حکومت امری الهی است اما برای اعمال حاکمیت نیازمند کدام مورد است؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
29,از دیدگاه ابن سینا عالی ترین نظام روانی و مهمترین بعد انسانی که او را از دیگر حیوانات متمایز میکند کدام نظام است و کدام مؤلفه در آن نقش مهمی ایفا میکند؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
30,خوب بودن، سودمندی و ضرورت از ارکان تحقق کدام مورد است؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
31,شرایطی را در نظر بگیرید که قادر متعال با امدادی غیبی مشکلات پیش روی یک سازمان آخرت گرا را مرتفع می کند. این کنش خداوند بی همتا نشانگر کدام مورد است؟,3,اصول و مبانی مدیریت از دیدگاه اسلام
32,آیه شریفه «و یرید الله ان یخفف عنکم و خلق الانسان ضعیفا» به کدام اصل اشاره دارد و از کدام مجموعه اصول صحبت می کند؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
33,در انتخاب متصدیان و مسئولان امور عمومی و مدیریتی و به کارگماری حاکمان، کارگزاران و مدیران ارشد حکومتی و در تمام سلسله مراتب اداری و تشکیلاتی کدام قاعده مهم است؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
34,کدام سبک رهبری مبتنی بر اصل مدارا و مهرورزی و رعایت تاب و توان مردم و زیر مجموعه های حکمرانی سازمانی است؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
35,در دوره خاتمیت برای مدیریت و زمامداری و حکمرانی جامعه، کدام مؤلفه به عنوان یکی از شرایط امکان جاوید ماندن اسلام برشمرده شده است؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
36,در مدیریت اسلامی مؤلفه های شناختی شامل حقیقت جویی، گرایش به خیر، فضیلت، عشق و پرستش به کدام گرایش (گرایش ها) معروف هستند؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
37,کدام استنباط از حکایت قرآنی حضرت موسی و اسباط بنی اسرائیل درست است؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
38,کدام مورد مراتب یقین را به ترتیب صعودی (راست به چپ) به درستی نشان میدهد؟,3,اصول و مبانی مدیریت از دیدگاه اسلام
39,در خطبه ۳۲ نهج البلاغه برای تمایز گروههای اجتماعی پس از رحلت پیامبر (ص) چرا گروه چهارم با وجود ترک قدرت مورد نقد امام علی (ع) هستند؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
40,قرآن کریم که برای سرنوشت فرد اهمیت زیادی قائل است کدام فعالیت را اولی تر و مؤکدتر قرار داده است؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
