شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
41,از ۱۴۰۰ نفر ورزشکار ۱۲۵۰ نفر اسکی و ۹۵۲ نفر شنا میکنند ۶۰ نفر هیچ یک از این دو ورزش را نمی دانند. تعداد ورزشکارانی که هم اسکی و هم شنا میدانند کدام است؟,4,ریاضی
42,اگر در پرتاب متوالی سه تاس همگن مجموع اعداد رو شده در دو تاس اول مضربی از ۳ و مجموع اعداد روشده در سه تاس مضربی از ۴ باشد آنگاه به چند طریق این اتفاق صورت می پذیرد؟,1,ریاضی
43,"دامنه تابع f(x) = sqrt(min{x, 2x - 1}) کدام است؟",3,ریاضی
44,فرض کنید g(x) = 2x/(x+1) و f(x) = x - [x]، برد تابع (gof)(x) کدام است؟,3,ریاضی
45,اگر حد A = lim_{x->2} (2^x - 8)/(x^(2m) - 27) موجود، متناهی و ناصفر باشد آنگاه مقدار A کدام است؟,1,ریاضی
46,تابع چندضابطه‌ای f(x) مفروض است. مقدار lim_{x->-1^-} f(x) کدام است؟,4,ریاضی
47,"خط مماس بر منحنی y = e^(-1/2 x) در نقطه (0, 1) بر خط راست y = ax + 1 عمود است. مقدار a کدام است؟",2,ریاضی
48,اگر sin y = 4y + x - 1 نمایش یک منحنی در صفحه مختصات باشد مقدار d^2y/dx^2 - dy/dx در x = 1، کدام است؟,3,ریاضی
49,فرض کنید z = e^(xy) cos x، مقدار dz/dx - 2(dz/dy) به ازای x = 0 و y = 2 کدام است؟,2,ریاضی
50,"مساحت ناحیه محدود به منحنی y = sin x / cos^2 x و محور xها، در بازه [-pi/4, pi/4] کدام است؟",1,ریاضی
