شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
136,در یک مسئله برنامه ریزی صفر و یک سرمایه گذاری در سه پروژه A، B و C محدودیتی به صورت x_A + x_B + x_C >= 2 تعریف شده است. کدام جمله در مورد این محدودیت نادرست است؟,2,تحقیق در عملیات
137,در صورتی که مدل داده شده به مدل استاندارد برنامه ریزی خطی تبدیل شود؛ به ترتیب دارای چند متغیر تصمیم و چند محدودیت خواهد بود؟,4,تحقیق در عملیات
138,مسئله برنامه ریزی خطی داده شده به ازای چه مقادیری از a دارای جواب بهینه چندگانه است؟,3,تحقیق در عملیات
139,تعداد نیروی انسانی مورد نیاز یک مرکز ارتباط با مشتری در ساعت i ام روز برابر b_i است... تابع هدف مسئله به منظور حداقل کردن هزینه کل کدام است؟,2,تحقیق در عملیات
140,در صورتی که در تکرار اول یک مسئله برنامه ریزی خطی دومین متغیر اساسی خروجی باشد... میزان تغییر در اعداد سمت راست در تکرار بعدی به ترتیب کدام است؟,1,تحقیق در عملیات
141,مسئله برنامه ریزی خطی و جدول نهایی حل سیمپلکس آن داده شده است جواب بهینه مسئله کدام است؟,3,تحقیق در عملیات
142,مسئله برنامه ریزی خطی و بخشی از جدول سیمپلکس آن داده شده است. اگر بخواهیم یک واحد منبع اول (s1) داشته باشیم کدام مورد درست است؟,4,تحقیق در عملیات
143,"جواب بهینه مسئله برنامه ریزی خطی داده شده (3, 0, 0, 0, 0, 4) است. جواب بهینه مسئله ثانویه آن کدام است؟",1,تحقیق در عملیات
144,در تحلیل حساسیت مسئله برنامه ریزی خطی کدام تغییر بر شرط موجه بودن مسئله تأثیر نمی گذارد؟,2,تحقیق در عملیات
145,"متغیرهای اساسی تکرار نهایی حل مسئله برنامه ریزی خطی (x3, x2) است. اگر بردار سمت راست محدودیتها تغییر یابد، مقادیر x2, x3, Z به ترتیب کدام است؟",3,تحقیق در عملیات
146,"در تکرار نهایی حل مسئله برنامه ریزی خطی پارامتریک متغیرهای اساسی (s1, x2) است. به ازای چه مقادیری از theta جواب بهینه تغییر نمی کند؟",2,تحقیق در عملیات
147,در یک مدل حمل و نقل با m مبدأ و n مقصد اگر متغیر مسیر i به j در جواب نهایی غیر اساسی باشد آنگاه متغیر کمکی دوگان این مسیر (z_ij - c_ij) کدام است؟,4,تحقیق در عملیات
148,جدول هزینه تخصیص چهار نفر به دو شغل نشان داده شده است. مسئله دارای چه نوع جوابی و با چه هزینه ای است؟,1,تحقیق در عملیات
149,مسئله برنامه ریزی با اعداد صحیح و تابلوی نهایی حل آن بدون قید عدد صحیح بودن داده شده است... کدام مورد روابط خط برش را به همراه مقدار جواب صحیح نشان میدهد؟,3,تحقیق در عملیات
150,در تکرار اول حل مسئله صفر و یک با الگوریتم بالاس (شمارش ضمنی) کدام متغیر را برای انشعاب باید انتخاب کرد؟,1,تحقیق در عملیات
