شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
26,بر اساس فرمایش امام علی (ع) کدام نوع نگرش نوعی خود بزرگ بینی است که دل را فاسد و دین را پژمرده میکند و موجب زوال نعمتها است؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
27,در اصل سهولت یا سماحت به عنوان یکی از اصول برنامه ریزی مبتنی بر آموزه های قرآن کریم کدام مورد درست است؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
28,زمانی که انسان جذب و دفع دروغین را جایگزین حب و بغض راستین کند گرفتار چه نوع مغالطه ای است؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
29,برپایه قرآن کریم اینکه انسان همانند حیوانات گرفتار شهوت و غضب است بیانگر کدام بعد و لایه هویت حقیقی انسان است؟,3,اصول و مبانی مدیریت از دیدگاه اسلام
30,«فکر صحیح جستجو و کاوش زیاد استفاده از تجربه های نیکو عبرت از گذشته و استفاده از اهل عقل و دانش و ارباب تجارب» از مهمترین عناصر کدام مورد است؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
31,کدام عبارت بیانگر دیدگاه اندیشمندان اسلامی در خصوص تصمیم گیری بر مبنای مصلحت است؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
32,کدام مورد در صورتی محقق میشود که همراستا با خواست خدا یعنی قوانین و نوامیس طبیعی باشد...؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
33,امر مقومی که همه نظام فکری فارابی در ساختار مدینه بر آن مبتنی است چه نام دارد؟,3,اصول و مبانی مدیریت از دیدگاه اسلام
34,در فقه و مدیریت اسلامی مبتنی بر فقه بیشترین تمسک و استناد به کدام یک از منابع است؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
35,در کدام استراتژی خودکنترلی و مرابطه مرحله خشم و تنبیه رخ میدهد؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
36,حضرت امام علی (ع) در تبیین مشخصه های مدیران شایسته (زمامداران) در «نامه ۵۳» مسند مدیریت را با چه تعبیری تبیین نموده است که اساس تمام ویژگیهای دیگر است؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
37,در مقوله روش شناسی مرتبط با اجرائیات مدیریت کدام مورد ضعیف ترین روش شناخت است که مدیران را گاهی گرفتار قضاوت پیش رس میکند؟,3,اصول و مبانی مدیریت از دیدگاه اسلام
38,مؤلفه های مستخرج از فرمایشات حضرت امام علی (ع) مانند «سعه صدر»، «پرهیز از لجاجت»، «شکیبایی در مسائل مدیریت» و «فرونشاندن خشم با یاد قیامت» ناظر بر کدام سبک رهبری است؟,2,اصول و مبانی مدیریت از دیدگاه اسلام
39,از دیدگاه شیخ الرئیس ابو علی سینا عالی ترین نظام روانی و مهمترین بعد انسان که او را از حیوانات متمایز میکند کدام نظام است و چه چیزی در این نظام نقش مهمی دارد؟,1,اصول و مبانی مدیریت از دیدگاه اسلام
40,از نظر ابن مسکویه کدام شخص در مدیریت اسلامی وظیفه تأمین سعادت همه اجتماع را بر عهده می گیرد؟,4,اصول و مبانی مدیریت از دیدگاه اسلام
