﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
86,با فرض ثابت بودن تقاضا، افزایش قیمت مواد اولیه موجب میشود در تعادل جدید قیمت ... و مقدار ... یابد.,1,اقتصاد خرد
87,تابع P = 140 - 0.5Q را در نظر بگیرید در قیمت P=70 کشش قیمتی تقاضا چقدر است؟,1,اقتصاد خرد
88,کشش متقاطع متقابل بین ماهی و میگو کدام است؟,4,اقتصاد خرد
89,تمام موارد درست هستند به جز: (هنگامی که APL افزایش می یابد MPL نیز افزایش می یابد),3,اقتصاد خرد
90,نرخ نهایی جانشینی فنی (MRTS) بین دو نهاده مانند سرمایه و نیروی کار چه مفهومی را بیان میکند؟,1,اقتصاد خرد
91,کدام مورد به صرفه جوییهای ناشی از مقیاس (Economies of Scale) منجر میشود؟,4,اقتصاد خرد
92,«مسیر گسترش» (Expansion Path) در تئوری تولید چه چیزی را نشان میدهد؟,1,اقتصاد خرد
93,در کوتاه مدت کدام هزینه ها همیشه با افزایش تولید کاهش می یابد؟,3,اقتصاد خرد
94,در تحلیل هزینه، «هزینه فرصت» (Opportunity Cost) به چه معناست؟,4,اقتصاد خرد
95,اگر یک بنگاه در بازار رقابت کامل در کوتاه مدت زیان ببیند اما همچنان به تولید ادامه دهد دلیل اصلی آن چیست؟,1,اقتصاد خرد
