﻿شماره_سوال,متن_سوال,جواب_صحیح,نام_درس
61,بر اساس نظریه تصمیم رفتاری کدام ویژگی متمایز کننده مذاکره کنندگان ورزیده است؟,2,تئوری های مدیریت
62,اگر سازمانی برای تحلیل و طراحی ساختار همزمان بر اصول رسمی و جهان شمول مدیریت، بر نیازها و انگیزش کارکنان و ارتباط پویا با محیط بیرونی تأکید کند این رویکرد بیشتر با کدام طبقه بندی اسکات سازگار است؟,4,تئوری های مدیریت
63,کدام مورد درست است؟ (در سازمان برمبنای پروژه به تعداد پروژه های موجود واحد مستقل ایجاد میکنیم),3,تئوری های مدیریت
64,یادگیری برای رشد شخصی که با شغل فعلی یا آتی مرتبط نیست به کدام مفهوم نادلر در حوزه یادگیری اشاره دارد؟,1,تئوری های مدیریت
65,در ساختار ادهوکراسی محیط چگونه است؟,2,تئوری های مدیریت
66,طبق نظر چه کسی در بوروکراسی وسایل میتوانند از طریق جابجایی اهداف جایگزین نتایج یا اهداف نهایی شوند؟,4,تئوری های مدیریت
67,استفاده از ساختارهای منعطف و تشکیل گروههای کوچک رقیب برای تسهیل و امکان پذیر ساختن استفاده از نوآوران در اجرای پروژه های خاص بیانگر کدام ویژگی سازمانهای کمال یافته است؟,1,تئوری های مدیریت
68,در فرایند ارتباطات سازمانی یکی از موانع مهم «طرز بیان و معناشناسی» است کدام مورد دقیق ترین و اثر بخش ترین راهکار برای رفع این مانع است؟,4,تئوری های مدیریت
69,منبع قدرت در فرهنگ سلسله مراتبی کدام است؟,3,تئوری های مدیریت
70,در مرحله رشد از طریق هدایت، تمرکز مدیریت بر کدام مورد است؟,2,تئوری های مدیریت
71,کدام مورد ادعای اصلی نظریه وابستگی به منابع را نشان میدهد؟,3,تئوری های مدیریت
72,«روابط بین فردی» و «خط مشی ها و مدیریت سازمان» به ترتیب جزو کدام عوامل نظریه دو عاملی هرزبرگ هستند؟,2,تئوری های مدیریت
73,تفاوت اصلی نگرش کلاسیک و نئوکلاسیک در محتوای ارتباطات سازمانی چیست؟,1,تئوری های مدیریت
74,قضاوتی برخورد کردن، تشخیص و ارزیابی واقعیات مطابق مجموعه ارزشهای فردی ویژگیهای کدام سبک مذاکره است؟,4,تئوری های مدیریت
75,در کدام نظریه سازمان و مدیریت، سازمانهای نوظهور میکوشند شکاف موجود در بازار را کشف کرده، نیازی ویژه را تشخیص دهند و منابع لازم را برای بهره برداری از آن حفظ کنند؟,2,تئوری های مدیریت
76,کدام مورد از مهمترین پیامدهای نظریه نهادی برای سازمانها است؟,4,تئوری های مدیریت
77,در چارچوب استراتژی کنترل فنی، کدام ویژگی بیش از همه ماهیت این نوع کنترل را از سایر اشکال کنترل مدیریتی متمایز میکند؟,3,تئوری های مدیریت
78,توصیف بی توجهی به کرامت انسانی و منفعت جویی به ترتیب در کدام نگاهها به سازمان انجام میشود؟,1,تئوری های مدیریت
79,تبانی و هماهنگی میان کارگران برای جلوگیری از ارائه حداکثر توان کاری به کدام مفهوم کم کاری در مدیریت علمی مرتبط است؟,2,تئوری های مدیریت
80,در شرایط بن بست دوسویه که پیامهای کلامی و غیر کلامی فرد ناسازگار هستند کدام مورد بهترین راهکار برای فهم دقیق منظور فرد است؟,1,تئوری های مدیریت
81,بر اساس نظر تامپسون سیستم اجتماعی، نظام مطلوب برای کدام سطح طبقه بندی پارسونز محسوب میشود؟,2,تئوری های مدیریت
82,در فرایند ارتباطات سازمانی پدیده گرانباری اطلاعات زمانی رخ میدهد که حجم اطلاعات ...,3,تئوری های مدیریت
83,در سازمانی که فرهنگ آن غالباً سلسله مراتبی است کدام ویژگی مدیریتی بیش از همه با اثر بخشی و موفقیت مدیریتی همسو شناخته میشود؟,1,تئوری های مدیریت
84,در حالت ترکیب در مدیریت دانش کدام فضا شکل می گیرد؟,3,تئوری های مدیریت
85,کدام یک از توانمندیهای مدیریت به مدیران کمک میکند تا با شناخت و کنترل عواطف و هیجانهای خود و دیگران مدیریت مؤثری در سازمان داشته باشند؟,4,تئوری های مدیریت
